identificador,captador,fecha_lectura,tipo_polinico,granos_de_polen_x_metro_cubico
436,ALCA,2025-01-16T00:00:00,Arce,
437,ALCA,2025-01-16T00:00:00,Artemisia,
438,ALCA,2025-01-16T00:00:00,Castaño,
439,ALCA,2025-01-16T00:00:00,Compuestas,
440,ALCA,2025-01-16T00:00:00,Corylus,
441,ALCA,2025-01-16T00:00:00,Cupresáceas/Taxáceas,
442,ALCA,2025-01-16T00:00:00,Ericaceae,
443,ALCA,2025-01-16T00:00:00,Eucalipto,
444,ALCA,2025-01-16T00:00:00,Fresno,
445,ALCA,2025-01-16T00:00:00,Gramíneas,
446,ALCA,2025-01-16T00:00:00,Moreras,
447,ALCA,2025-01-16T00:00:00,Olivo,
448,ALCA,2025-01-16T00:00:00,Olmos,
449,ALCA,2025-01-16T00:00:00,Otros,
450,ALCA,2025-01-16T00:00:00,Pinos,
451,ALCA,2025-01-16T00:00:00,Plantago,
452,ALCA,2025-01-16T00:00:00,Plátano de paseo,
453,ALCA,2025-01-16T00:00:00,PNI (Polen no identificado),
454,ALCA,2025-01-16T00:00:00,Populus,
455,ALCA,2025-01-16T00:00:00,Quenopodiáceas/Amarantáceas,
456,ALCA,2025-01-16T00:00:00,Quercus,
457,ALCA,2025-01-16T00:00:00,Rumex (Acederas),
458,ALCA,2025-01-16T00:00:00,Sauces,
459,ALCA,2025-01-16T00:00:00,Urticaceae (Ortigas),
460,ALCA,2025-01-17T00:00:00,Abedul,
461,ALCA,2025-01-17T00:00:00,Aligustre,
462,ALCA,2025-01-17T00:00:00,Aliso,
463,ALCA,2025-01-17T00:00:00,Arce,
464,ALCA,2025-01-17T00:00:00,Artemisia,
465,ALCA,2025-01-17T00:00:00,Castaño,
466,ALCA,2025-01-17T00:00:00,Compuestas,
467,ALCA,2025-01-17T00:00:00,Corylus,
468,ALCA,2025-01-17T00:00:00,Cupresáceas/Taxáceas,
469,ALCA,2025-01-17T00:00:00,Ericaceae,
470,ALCA,2025-01-17T00:00:00,Eucalipto,
471,ALCA,2025-01-17T00:00:00,Fresno,
472,ALCA,2025-01-17T00:00:00,Gramíneas,
473,ALCA,2025-01-17T00:00:00,Moreras,
474,ALCA,2025-01-17T00:00:00,Olivo,
475,ALCA,2025-01-17T00:00:00,Olmos,
476,ALCA,2025-01-17T00:00:00,Otros,
477,ALCA,2025-01-17T00:00:00,Pinos,
478,ALCA,2025-01-17T00:00:00,Plantago,
479,ALCA,2025-01-17T00:00:00,Plátano de paseo,
480,ALCA,2025-01-17T00:00:00,PNI (Polen no identificado),
481,ALCA,2025-01-17T00:00:00,Populus,
482,ALCA,2025-01-17T00:00:00,Quenopodiáceas/Amarantáceas,
483,ALCA,2025-01-17T00:00:00,Quercus,
484,ALCA,2025-01-17T00:00:00,Rumex (Acederas),
485,ALCA,2025-01-17T00:00:00,Sauces,
486,ALCA,2025-01-17T00:00:00,Urticaceae (Ortigas),
487,ALCA,2025-01-18T00:00:00,Abedul,
488,ALCA,2025-01-18T00:00:00,Aligustre,
489,ALCA,2025-01-18T00:00:00,Aliso,
490,ALCA,2025-01-18T00:00:00,Arce,
491,ALCA,2025-01-18T00:00:00,Artemisia,
492,ALCA,2025-01-18T00:00:00,Castaño,
493,ALCA,2025-01-18T00:00:00,Compuestas,
